Date,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
2020-08-14,VT,"PORTER HOSPITAL, INC",MIDDLEBURY,Critical Access Hospitals,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0
2020-08-07,VT,COPLEY HOSPITAL,MORRISVILLE,Critical Access Hospitals,32.6,,,15.8,,,,25.0,0.0,,0.0,,,,163.0,,,79.0,,,,125.0,0.0,,0.0,,,
2021-10-01,VT,CENTRAL VERMONT MEDICAL CENTER,BARRE,Short Term,119.0,119.0,89.0,62.6,62.6,4.6,4.6,89.0,14.0,14.0,8.7,8.7,-999999.0,-999999.0,833.0,833.0,623.0,438.0,438.0,32.0,32.0,623.0,98.0,98.0,61.0,61.0,16.0,16.0
2021-09-24,VT,BRATTLEBORO MEMORIAL HOSPITAL,BRATTLEBORO,Short Term,54.0,44.0,31.0,20.4,20.4,-999999.0,-999999.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,378.0,308.0,217.0,143.0,143.0,10.0,10.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-24,VT,CENTRAL VERMONT MEDICAL CENTER,BARRE,Short Term,119.0,119.0,89.0,64.4,64.4,-999999.0,-999999.0,89.0,14.0,14.0,8.9,8.9,-999999.0,-999999.0,833.0,833.0,623.0,451.0,451.0,27.0,27.0,623.0,98.0,98.0,62.0,62.0,11.0,11.0
2021-09-24,VT,NORTHEASTERN VERMONT REGIONAL HOSPITAL,SAINT JOHNSBURY,Critical Access Hospitals,25.0,25.0,25.0,22.9,22.0,-999999.0,-999999.0,25.0,4.0,4.0,-999999.0,4.0,-999999.0,-999999.0,175.0,175.0,175.0,160.0,154.0,6.0,5.0,175.0,28.0,28.0,26.0,28.0,-999999.0,-999999.0
2021-10-01,VT,SPRINGFIELD HOSPITAL,SPRINGFIELD,Critical Access Hospitals,38.0,38.0,25.0,12.9,12.9,-999999.0,-999999.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,266.0,266.0,175.0,90.0,90.0,13.0,13.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,VT,MT ASCUTNEY HOSPITAL,WINDSOR,Critical Access Hospitals,35.0,35.0,35.0,27.3,27.3,-999999.0,-999999.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0,245.0,245.0,191.0,191.0,6.0,6.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,VT,"PORTER HOSPITAL, INC",MIDDLEBURY,Critical Access Hospitals,50.0,50.0,40.0,18.0,18.0,-999999.0,-999999.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,350.0,280.0,126.0,126.0,-999999.0,-999999.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,VT,COPLEY HOSPITAL,MORRISVILLE,Critical Access Hospitals,32.0,32.0,32.0,21.1,21.1,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,224.0,224.0,148.0,148.0,0.0,0.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-24,VT,RUTLAND REGIONAL MEDICAL CENTER,RUTLAND,Short Term,139.0,139.0,111.0,100.0,98.6,5.7,5.1,111.0,12.0,12.0,10.7,10.6,-999999.0,-999999.0,973.0,973.0,777.0,700.0,690.0,40.0,36.0,777.0,84.0,84.0,75.0,74.0,19.0,19.0
2021-10-01,VT,GIFFORD MEDICAL CENTER,RANDOLPH,Critical Access Hospitals,56.0,56.0,25.0,13.4,13.4,-999999.0,-999999.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,392.0,392.0,175.0,94.0,94.0,-999999.0,-999999.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,VT,NORTHEASTERN VERMONT REGIONAL HOSPITAL,SAINT JOHNSBURY,Critical Access Hospitals,25.0,25.0,25.0,17.1,16.9,-999999.0,-999999.0,25.0,4.0,4.0,-999999.0,-999999.0,-999999.0,0.0,175.0,175.0,175.0,120.0,118.0,16.0,16.0,175.0,28.0,28.0,23.0,23.0,-999999.0,0.0
2021-09-24,VT,MT ASCUTNEY HOSPITAL,WINDSOR,Critical Access Hospitals,35.0,35.0,35.0,27.6,27.6,-999999.0,-999999.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0,245.0,245.0,193.0,193.0,16.0,15.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-24,VT,UNIVERSITY OF VERMONT MEDICAL CENTER,BURLINGTON,Short Term,505.0,419.0,419.0,416.1,370.1,16.0,15.0,505.0,75.0,42.0,55.0,36.0,5.6,5.1,3535.0,2933.0,2933.0,2913.0,2591.0,112.0,105.0,3535.0,525.0,294.0,385.0,252.0,39.0,36.0
2021-10-01,VT,BRATTLEBORO MEMORIAL HOSPITAL,BRATTLEBORO,Short Term,54.0,44.0,31.0,21.0,21.0,-999999.0,-999999.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,378.0,308.0,217.0,147.0,147.0,10.0,10.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,VT,NORTH COUNTRY HOSPITAL AND HEALTH CENTER,NEWPORT,Critical Access Hospitals,35.0,35.0,25.0,18.0,18.0,-999999.0,-999999.0,25.0,5.0,5.0,0.0,0.0,0.0,0.0,245.0,245.0,175.0,126.0,126.0,6.0,6.0,175.0,35.0,35.0,0.0,0.0,0.0,0.0
2021-09-24,VT,SPRINGFIELD HOSPITAL,SPRINGFIELD,Critical Access Hospitals,38.0,38.0,25.0,12.3,12.3,4.0,4.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,266.0,266.0,175.0,86.0,86.0,28.0,28.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-24,VT,NORTH COUNTRY HOSPITAL AND HEALTH CENTER,NEWPORT,Critical Access Hospitals,35.0,35.0,25.0,20.9,20.9,-999999.0,-999999.0,25.0,5.0,5.0,0.0,0.0,0.0,0.0,245.0,245.0,175.0,146.0,146.0,-999999.0,-999999.0,175.0,35.0,35.0,0.0,0.0,0.0,0.0
2021-10-01,VT,UNIVERSITY OF VERMONT MEDICAL CENTER,BURLINGTON,Short Term,505.0,419.0,419.0,418.7,370.1,12.4,12.0,505.0,75.0,42.0,62.0,39.4,-999999.0,-999999.0,3535.0,2933.0,2933.0,2931.0,2591.0,87.0,84.0,3535.0,525.0,294.0,434.0,276.0,27.0,27.0
2021-09-24,VT,"PORTER HOSPITAL, INC",MIDDLEBURY,Critical Access Hospitals,50.0,50.0,40.0,18.0,18.0,-999999.0,-999999.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,350.0,280.0,126.0,126.0,7.0,7.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,VT,GRACE COTTAGE HOSPITAL,TOWNSHEND,Critical Access Hospitals,19.0,19.0,19.0,9.0,9.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,133.0,133.0,63.0,63.0,0.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-24,VT,NORTHWESTERN MEDICAL CENTER INC,SAINT ALBANS,Short Term,83.7,83.7,45.0,27.7,26.1,-999999.0,-999999.0,45.0,7.1,7.1,4.1,4.0,-999999.0,-999999.0,586.0,586.0,315.0,194.0,183.0,25.0,25.0,315.0,50.0,50.0,29.0,28.0,7.0,7.0
2021-09-24,VT,GRACE COTTAGE HOSPITAL,TOWNSHEND,Critical Access Hospitals,19.0,19.0,19.0,10.6,10.6,-999999.0,-999999.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,133.0,133.0,74.0,74.0,-999999.0,-999999.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,VT,RUTLAND REGIONAL MEDICAL CENTER,RUTLAND,Short Term,139.0,139.0,111.0,92.7,91.6,6.7,6.3,111.0,12.0,12.0,10.7,10.7,-999999.0,-999999.0,973.0,973.0,777.0,649.0,641.0,47.0,44.0,777.0,84.0,84.0,75.0,75.0,26.0,23.0
2021-09-24,VT,GIFFORD MEDICAL CENTER,RANDOLPH,Critical Access Hospitals,56.0,56.0,25.0,13.7,14.0,-999999.0,-999999.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,392.0,392.0,175.0,96.0,98.0,-999999.0,-999999.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-24,VT,SOUTHWESTERN VERMONT MEDICAL CENTER,BENNINGTON,Short Term,106.0,100.0,100.0,56.1,53.1,-999999.0,-999999.0,106.0,10.0,10.0,8.0,8.0,-999999.0,-999999.0,742.0,700.0,700.0,393.0,372.0,27.0,27.0,742.0,70.0,70.0,56.0,56.0,9.0,9.0
2021-09-24,VT,COPLEY HOSPITAL,MORRISVILLE,Critical Access Hospitals,32.0,32.0,32.0,18.3,18.3,-999999.0,-999999.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,224.0,224.0,128.0,128.0,-999999.0,-999999.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,VT,NORTHWESTERN MEDICAL CENTER INC,SAINT ALBANS,Short Term,70.0,70.0,45.0,31.9,30.3,5.3,5.3,45.0,7.0,7.0,5.6,5.6,-999999.0,-999999.0,490.0,490.0,315.0,223.0,212.0,37.0,37.0,315.0,49.0,49.0,39.0,39.0,12.0,12.0
2021-10-01,VT,SOUTHWESTERN VERMONT MEDICAL CENTER,BENNINGTON,Short Term,106.0,100.0,100.0,52.0,51.1,-999999.0,-999999.0,106.0,10.0,10.0,7.7,7.7,-999999.0,-999999.0,742.0,700.0,700.0,364.0,358.0,22.0,22.0,742.0,70.0,70.0,54.0,54.0,-999999.0,-999999.0
2021-09-17,VT,GIFFORD MEDICAL CENTER,RANDOLPH,Critical Access Hospitals,56.0,56.0,25.0,15.7,15.7,-999999.0,-999999.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,392.0,392.0,175.0,110.0,110.0,8.0,8.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-10,VT,"PORTER HOSPITAL, INC",MIDDLEBURY,Critical Access Hospitals,50.0,50.0,40.0,18.0,18.0,-999999.0,-999999.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,350.0,280.0,126.0,126.0,-999999.0,-999999.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-03,VT,BRATTLEBORO MEMORIAL HOSPITAL,BRATTLEBORO,Short Term,54.0,44.0,31.0,21.0,21.0,-999999.0,-999999.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,378.0,308.0,217.0,147.0,147.0,19.0,19.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-17,VT,MT ASCUTNEY HOSPITAL,WINDSOR,Critical Access Hospitals,35.0,35.0,35.0,23.1,23.1,-999999.0,-999999.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0,245.0,245.0,162.0,162.0,15.0,14.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-10,VT,GIFFORD MEDICAL CENTER,RANDOLPH,Critical Access Hospitals,56.0,56.0,25.0,14.6,14.6,-999999.0,-999999.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,392.0,392.0,175.0,102.0,102.0,-999999.0,-999999.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-10,VT,BRATTLEBORO MEMORIAL HOSPITAL,BRATTLEBORO,Short Term,54.0,44.0,31.0,16.9,16.9,-999999.0,-999999.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,378.0,308.0,217.0,118.0,118.0,6.0,6.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-03,VT,NORTH COUNTRY HOSPITAL AND HEALTH CENTER,NEWPORT,Critical Access Hospitals,35.0,35.0,25.0,19.0,19.0,-999999.0,-999999.0,25.0,5.0,5.0,0.0,0.0,0.0,0.0,245.0,245.0,175.0,133.0,133.0,4.0,4.0,175.0,35.0,35.0,0.0,0.0,0.0,0.0
2021-09-17,VT,SOUTHWESTERN VERMONT MEDICAL CENTER,BENNINGTON,Short Term,106.0,100.0,100.0,52.6,49.0,5.0,5.0,106.0,10.0,10.0,7.0,7.0,-999999.0,-999999.0,742.0,700.0,700.0,368.0,343.0,35.0,35.0,742.0,70.0,70.0,49.0,49.0,12.0,12.0
2021-09-10,VT,NORTH COUNTRY HOSPITAL AND HEALTH CENTER,NEWPORT,Critical Access Hospitals,35.0,35.0,25.0,17.9,17.9,-999999.0,-999999.0,25.0,5.0,5.0,0.0,0.0,0.0,0.0,245.0,245.0,175.0,125.0,125.0,4.0,4.0,175.0,35.0,35.0,0.0,0.0,0.0,0.0
2021-09-10,VT,MT ASCUTNEY HOSPITAL,WINDSOR,Critical Access Hospitals,35.0,35.0,35.0,25.1,25.1,-999999.0,-999999.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0,245.0,245.0,176.0,176.0,-999999.0,-999999.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-17,VT,COPLEY HOSPITAL,MORRISVILLE,Critical Access Hospitals,32.0,32.0,32.0,16.1,16.1,-999999.0,-999999.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,224.0,224.0,113.0,113.0,6.0,6.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-10,VT,SOUTHWESTERN VERMONT MEDICAL CENTER,BENNINGTON,Short Term,106.0,100.0,100.0,46.4,45.6,-999999.0,-999999.0,106.0,10.0,10.0,5.4,5.4,-999999.0,-999999.0,742.0,700.0,700.0,325.0,319.0,23.0,23.0,742.0,70.0,70.0,38.0,38.0,4.0,4.0
2021-09-03,VT,"PORTER HOSPITAL, INC",MIDDLEBURY,Critical Access Hospitals,50.0,50.0,40.0,18.0,18.0,-999999.0,-999999.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,350.0,280.0,126.0,126.0,6.0,6.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-03,VT,GRACE COTTAGE HOSPITAL,TOWNSHEND,Critical Access Hospitals,19.0,19.0,19.0,10.7,10.7,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,133.0,133.0,75.0,75.0,0.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-17,VT,NORTH COUNTRY HOSPITAL AND HEALTH CENTER,NEWPORT,Critical Access Hospitals,35.0,35.0,25.0,20.6,20.6,0.0,0.0,25.0,5.0,5.0,0.0,0.0,0.0,0.0,245.0,245.0,175.0,144.0,144.0,0.0,0.0,175.0,35.0,35.0,0.0,0.0,0.0,0.0
2021-09-03,VT,GIFFORD MEDICAL CENTER,RANDOLPH,Critical Access Hospitals,56.0,56.0,25.0,15.4,15.4,-999999.0,-999999.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,392.0,392.0,175.0,108.0,108.0,5.0,4.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0
