Date,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
2021-03-12,WA,SHRINERS HOSPITAL FOR CHILDREN,SPOKANE,Childrens Hospitals,30.0,0.0,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,0.0,0.0,210.0,0.0,0.0,0.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-25,WA,SHRINERS HOSPITAL FOR CHILDREN,SPOKANE,Childrens Hospitals,30.0,0.0,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,0.0,0.0,210.0,0.0,0.0,0.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-06,WA,MARY BRIDGE CHILDREN'S HOSPITAL,TACOMA,Childrens Hospitals,171.0,0.0,0.0,33.8,0.0,0.0,0.0,171.0,16.0,0.0,0.0,0.0,0.0,0.0,684.0,0.0,0.0,135.0,0.0,0.0,0.0,513.0,64.0,0.0,0.0,0.0,0.0,0.0
2020-10-30,WA,MARY BRIDGE CHILDREN'S HOSPITAL,TACOMA,Childrens Hospitals,171.0,0.0,0.0,29.7,0.0,0.0,0.0,171.0,16.0,0.0,0.0,0.0,0.0,0.0,513.0,0.0,0.0,89.0,0.0,0.0,0.0,513.0,48.0,0.0,0.0,0.0,0.0,0.0
2020-10-23,WA,MARY BRIDGE CHILDREN'S HOSPITAL,TACOMA,Childrens Hospitals,171.0,0.0,0.0,47.0,0.0,0.0,0.0,171.0,16.0,0.0,0.0,0.0,0.0,0.0,684.0,0.0,0.0,188.0,0.0,0.0,0.0,684.0,64.0,0.0,0.0,0.0,0.0,0.0
2020-10-23,WA,MULTICARE DEACONESS HOSPITAL,SPOKANE,Short Term,354.3,315.3,200.3,159.5,152.5,10.0,7.8,354.3,40.5,40.5,21.8,21.8,-999999.0,-999999.0,1417.0,1261.0,801.0,638.0,610.0,40.0,31.0,1417.0,162.0,162.0,87.0,87.0,8.0,7.0
2020-09-25,WA,KAISER PERMANENTE CENTRAL HOSPITAL,SEATTLE,Short Term,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,,
2020-09-18,WA,NEWPORT COMMUNITY HOSPITAL,NEWPORT,Critical Access Hospitals,24.0,,,6.4,,,,24.0,0.0,,0.0,,,,120.0,,,32.0,,,,120.0,0.0,,0.0,,,
2020-09-04,WA,CONFLUENCE HEALTH- WENATCHEE VALLEY HOSP & CLINICS,WENATCHEE,Short Term,20.0,20.0,20.0,7.4,7.4,,,20.0,0.0,0.0,0.0,0.0,,,140.0,140.0,140.0,52.0,52.0,,,140.0,0.0,0.0,0.0,0.0,,
2020-08-21,WA,KAISER PERMANENTE CENTRAL HOSPITAL,SEATTLE,Short Term,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,,
2020-08-07,WA,EAST ADAMS RURAL HOSPITAL,RITZVILLE,Critical Access Hospitals,12.0,4.0,4.0,-999999.0,4.0,,,-999999.0,0.0,,0.0,,,,60.0,16.0,16.0,19.0,16.0,,,19.0,0.0,,0.0,,,
2020-08-07,WA,KAISER PERMANENTE CENTRAL HOSPITAL,SEATTLE,Short Term,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,,
2021-10-01,WA,PROVIDENCE HOLY FAMILY HOSPITAL,SPOKANE,Short Term,133.0,128.7,128.7,129.7,124.7,48.0,46.4,130.3,13.0,13.0,11.7,11.7,8.3,8.3,931.0,901.0,901.0,908.0,873.0,336.0,325.0,912.0,91.0,91.0,82.0,82.0,58.0,58.0
