Date,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
2021-07-30,WI,MIDWEST ORTHOPEDIC SPECIALTY HOSPITAL,FRANKLIN,Short Term,4.6,4.6,4.6,0.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,32.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-30,WI,SPOONER HEALTH SYSTEM,SPOONER,Critical Access Hospitals,14.0,14.0,8.0,-999999.0,-999999.0,-999999.0,-999999.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,98.0,56.0,25.0,23.0,-999999.0,-999999.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-28,WI,ST JOSEPHS HOSPITAL,CHIPPEWA FALLS,Short Term,26.0,26.0,26.0,-999999.0,-999999.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,182.0,182.0,22.0,22.0,0.0,0.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01,WI,SPOONER HEALTH SYSTEM,SPOONER,Critical Access Hospitals,18.0,18.0,12.0,-999999.0,-999999.0,-999999.0,-999999.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,126.0,84.0,26.0,26.0,-999999.0,-999999.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-24,WI,CHILDRENS HOSPITAL OF WISCONSIN FOX VALLEY,NEENAH,Childrens Hospitals,42.0,0.0,0.0,-999999.0,0.0,0.0,0.0,26.0,12.0,0.0,0.0,0.0,0.0,0.0,294.0,0.0,0.0,4.0,0.0,0.0,0.0,182.0,84.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,WI,MILE BLUFF MEDICAL CENTER,MAUSTON,Short Term,26.0,26.0,26.0,13.1,13.1,-999999.0,-999999.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,182.0,182.0,92.0,92.0,12.0,11.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-24,WI,ST CROIX REGIONAL MEDICAL CENTER,SAINT CROIX FALLS,Critical Access Hospitals,31.0,31.0,25.0,16.6,16.6,4.9,4.9,25.0,-999999.0,-999999.0,-999999.0,-999999.0,0.0,0.0,217.0,217.0,175.0,116.0,116.0,34.0,34.0,175.0,21.0,21.0,9.0,9.0,0.0,0.0
2021-10-01,WI,OAKLEAF SURGICAL HOSPITAL,ALTOONA,Short Term,30.0,30.0,30.0,13.0,13.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,210.0,210.0,91.0,91.0,0.0,0.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,WI,FROEDTERT WEST BEND HOSPITAL,WEST BEND,Short Term,108.0,108.0,108.0,51.1,51.1,18.7,17.9,108.0,46.0,46.0,5.9,5.9,5.1,5.1,756.0,756.0,756.0,358.0,358.0,131.0,125.0,756.0,322.0,322.0,41.0,41.0,36.0,36.0
2021-10-01,WI,GUNDERSEN TRI-COUNTY HOSPITAL AND CLINICS,WHITEHALL,Critical Access Hospitals,15.0,15.0,12.0,8.7,8.7,-999999.0,-999999.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,105.0,84.0,61.0,61.0,11.0,11.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-24,WI,MARSHFIELD MEDICAL CENTER - EAU CLAIRE,EAU CLAIRE,Short Term,53.4,53.4,53.4,50.6,50.6,4.4,4.4,53.4,5.7,5.7,5.7,5.6,-999999.0,-999999.0,374.0,374.0,374.0,354.0,354.0,31.0,31.0,374.0,40.0,40.0,40.0,39.0,7.0,7.0
2021-10-01,WI,CHILDRENS HOSPITAL OF WISCONSIN,MILWAUKEE,Childrens Hospitals,226.0,0.0,0.0,197.6,0.0,0.0,0.0,226.0,95.0,0.0,79.1,0.0,0.0,0.0,1582.0,0.0,0.0,1383.0,0.0,0.0,0.0,1582.0,665.0,0.0,554.0,0.0,0.0,0.0
2021-09-24,WI,ASCENSION SE WISCONSIN HOSPITAL - ST JOSEPH CAMPUS,MILWAUKEE,Short Term,346.0,346.0,284.0,160.4,160.4,21.0,20.0,284.0,34.0,34.0,22.3,22.3,7.7,7.4,2422.0,2422.0,1988.0,1123.0,1123.0,147.0,140.0,1988.0,238.0,238.0,156.0,156.0,54.0,52.0
2021-09-24,WI,THEDACARE MEDICAL CENTER - SHAWANO INC,SHAWANO,Critical Access Hospitals,26.9,26.9,21.7,17.4,17.4,4.1,4.1,21.7,0.0,0.0,0.0,0.0,0.0,0.0,188.0,188.0,152.0,122.0,122.0,29.0,29.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,WI,ASCENSION ST MICHAELS HOSPITAL,STEVENS POINT,Short Term,46.9,46.9,46.9,42.6,41.6,11.4,11.4,46.9,-999999.0,-999999.0,-999999.0,-999999.0,-999999.0,-999999.0,328.0,328.0,328.0,298.0,291.0,80.0,80.0,328.0,8.0,8.0,8.0,8.0,-999999.0,-999999.0
