Date,state,hospital_name,city,hospital_subtype,total_beds_7_day_avg,all_adult_hospital_beds_7_day_avg,all_adult_hospital_inpatient_beds_7_day_avg,inpatient_beds_used_7_day_avg,all_adult_hospital_inpatient_bed_occupied_7_day_avg,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,inpatient_beds_7_day_avg,total_icu_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,icu_beds_used_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,staffed_icu_adult_patients_confirmed_covid_7_day_avg,total_beds_7_day_sum,all_adult_hospital_beds_7_day_sum,all_adult_hospital_inpatient_beds_7_day_sum,inpatient_beds_used_7_day_sum,all_adult_hospital_inpatient_bed_occupied_7_day_sum,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,total_staffed_adult_icu_beds_7_day_sum,icu_beds_used_7_day_sum,staffed_adult_icu_bed_occupancy_7_day_sum,staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,staffed_icu_adult_patients_confirmed_covid_7_day_sum
2021-07-02,WY,SUMMIT MEDICAL CENTER,CASPER,Short Term,16.0,16.0,16.0,-999999.0,-999999.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,112.0,112.0,13.0,13.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-07,WY,SUMMIT MEDICAL CENTER,CASPER,Short Term,16.0,16.0,16.0,-999999.0,-999999.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,80.0,80.0,-999999.0,-999999.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-12,WY,SUMMIT MEDICAL CENTER,CASPER,Short Term,16.0,16.0,16.0,-999999.0,-999999.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,112.0,112.0,8.0,8.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,WY,HOT SPRINGS COUNTY MEMORIAL HOSPITAL,THERMOPOLIS,Critical Access Hospitals,25.0,19.0,15.0,-999999.0,-999999.0,-999999.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,133.0,105.0,19.0,19.0,6.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-24,WY,NIOBRARA HEALTH & LIFE CENTER,LUSK,Critical Access Hospitals,26.0,26.0,24.0,15.9,15.9,-999999.0,-999999.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,182.0,168.0,111.0,111.0,10.0,10.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-24,WY,ST JOHNS MEDICAL CENTER,JACKSON,Short Term,60.0,60.0,48.0,32.1,32.1,8.6,8.6,48.0,6.0,6.0,4.9,4.9,-999999.0,-999999.0,420.0,420.0,336.0,225.0,225.0,60.0,60.0,336.0,42.0,42.0,34.0,34.0,18.0,18.0
2021-10-01,WY,PLATTE COUNTY MEMORIAL HOSPITAL,WHEATLAND,Critical Access Hospitals,25.0,25.0,23.0,-999999.0,-999999.0,-999999.0,-999999.0,23.0,-999999.0,-999999.0,0.0,0.0,0.0,0.0,175.0,175.0,161.0,25.0,23.0,14.0,13.0,161.0,14.0,14.0,0.0,0.0,0.0,0.0
2021-09-24,WY,SOUTH LINCOLN MEDICAL CENTER - CAH,KEMMERER,Critical Access Hospitals,22.0,22.0,16.0,5.6,5.6,4.2,4.2,22.0,-999999.0,-999999.0,-999999.0,-999999.0,-999999.0,-999999.0,110.0,110.0,80.0,28.0,28.0,21.0,21.0,110.0,10.0,10.0,10.0,10.0,9.0,9.0
2021-09-24,WY,MEMORIAL HOSPITAL OF CARBON COUNTY,RAWLINS,Critical Access Hospitals,34.0,34.0,25.0,6.9,6.6,-999999.0,-999999.0,25.0,6.0,6.0,-999999.0,-999999.0,-999999.0,-999999.0,238.0,238.0,175.0,48.0,46.0,7.0,7.0,175.0,42.0,42.0,14.0,11.0,10.0,7.0
2021-09-24,WY,SAGEWEST HEALTH CARE,RIVERTON,Short Term,146.0,116.0,116.0,26.6,22.7,18.0,13.3,146.0,10.0,10.0,9.9,9.9,9.0,7.6,1022.0,812.0,812.0,186.0,159.0,126.0,93.0,1022.0,70.0,70.0,69.0,69.0,63.0,53.0
